Todos_os_casos,cod_municipio,municipio
1,350070,AGUDOS
1,350115,ALUMINIO
1,350280,ARACATUBA
2,350320,ARARAQUARA
47,350460,BADY BASSITT
28,350480,BALSAMO
6,350550,BARRETOS
2,350560,BARRINHA
3,350600,BAURU
1,350640,BILAC
2,350650,BIRIGUI
10,350950,CAMPINAS
1,351050,CARAGUATATUBA
1,351130,CEDRAL
1,351500,EMBU DAS ARTES
5,351620,FRANCA
1,351685,GAVIAO PEIXOTO
4,351880,GUARULHOS
2,351930,IBATE
1,351990,IEPE
1,352440,JACAREI
1,352450,JACI
1,352480,JALES
1,352570,JOSE BONIFACIO
1,352630,LAGOINHA
2,353030,MIRASSOL
1,353050,MOCOCA
2,353110,MONGAGUA
1,353320,NOVA INDEPENDENCIA
4,353440,OSASCO
1,353760,PERUIBE
1,353800,PINDAMONHANGABA
2,354100,PRAIA GRANDE
1,354160,PROMISSAO
1,354260,REGISTRO
5,354340,RIBEIRAO PRETO
2,354520,SALTO
1,354570,SANTA ALBERTINA
1,354640,SANTA CRUZ DO RIO PARDO
2,354660,SANTA FE DO SUL
2,354780,SANTO ANDRE
1,354870,SAO BERNARDO DO CAMPO
175,354890,SAO CARLOS
68,354980,SAO JOSE DO RIO PRETO
5,354990,SAO JOSE DOS CAMPOS
16,355030,SAO PAULO
1,355070,SAO SEBASTIAO
3,355100,SAO VICENTE
1,355150,SERRANA
2,355220,SOROCABA
1,355370,TAQUARITINGA
1,355410,TAUBATE
2,355610,VALENTIM GENTIL
1,355630,VALPARAISO
14,355710,VOTUPORANGA
