Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Todos os casos por Município de residência
Ano 1º Sintoma(s): 2020, 2021, 2022, 2023, 2024, 2025, 2026
Período:2026
"Município de residência";"Todos_os_casos"
"350070 AGUDOS";1
"350115 ALUMINIO";1
"350280 ARACATUBA";1
"350320 ARARAQUARA";2
"350460 BADY BASSITT";47
"350480 BALSAMO";28
"350550 BARRETOS";6
"350560 BARRINHA";2
"350600 BAURU";3
"350640 BILAC";1
"350650 BIRIGUI";2
"350950 CAMPINAS";10
"351050 CARAGUATATUBA";1
"351130 CEDRAL";1
"351500 EMBU DAS ARTES";1
"351620 FRANCA";5
"351685 GAVIAO PEIXOTO";1
"351880 GUARULHOS";4
"351930 IBATE";2
"351990 IEPE";1
"352440 JACAREI";1
"352450 JACI";1
"352480 JALES";1
"352570 JOSE BONIFACIO";1
"352630 LAGOINHA";1
"353030 MIRASSOL";2
"353050 MOCOCA";1
"353110 MONGAGUA";2
"353320 NOVA INDEPENDENCIA";1
"353440 OSASCO";4
"353760 PERUIBE";1
"353800 PINDAMONHANGABA";1
"354100 PRAIA GRANDE";2
"354160 PROMISSAO";1
"354260 REGISTRO";1
"354340 RIBEIRAO PRETO";5
"354520 SALTO";2
"354570 SANTA ALBERTINA";1
"354640 SANTA CRUZ DO RIO PARDO";1
"354660 SANTA FE DO SUL";2
"354780 SANTO ANDRE";2
"354870 SAO BERNARDO DO CAMPO";1
"354890 SAO CARLOS";175
"354980 SAO JOSE DO RIO PRETO";68
"354990 SAO JOSE DOS CAMPOS";5
"355030 SAO PAULO";16
"355070 SAO SEBASTIAO";1
"355100 SAO VICENTE";3
"355150 SERRANA";1
"355220 SOROCABA";2
"355370 TAQUARITINGA";1
"355410 TAUBATE";1
"355610 VALENTIM GENTIL";2
"355630 VALPARAISO";1
"355710 VOTUPORANGA";14
"Total";445
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES urbanas
 do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2015 atualizados em 11/06/2018.
 Dados de 2016 atualizados em 11/06/2018.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 13/07/2020 às 03:00, incluídos os dados do ES em 09/08/2023.
 Dados de 2020 atualizados em 28/07/2021 às 03:00, incluídos os dados do ES em 09/08/2023.
 Dados de 2021 atualizados em 10/05/2023 às 12:00, incluídos os dados do ES em 09/08/2022.
 Dados de 2022 atualizados em 13/07/2023 às 12:00, incluídos os dados do ES em 09/08/2023.
 Dados de 2023 atualizados em 16/04/2024 às 18:00, incluídos os dados do ES em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas, incluídos os dados do ES em 02/01/2026.
 Dados de 2025 atualizados em 17/07/2026 às 21:00 horas, incluídos os dados do ES em 21/07/2026.
 Dados de 2026 atualizados em 02/09/2026 às 10:40 horas, sujeitos a revisão e incluídos os dados do ES em 08/09/2026.
 * Dados disponibilizados no TABNET em setembro de 2026.
 
